fast,slow,sharpe,annualized_return,max_drawdown
10,100,0.9661231687295194,0.1103675061048297,-0.2221021971209307
10,150,0.8737824068581892,0.10184127073942917,-0.25671788915370375
10,200,0.8833325790439791,0.10566334554517653,-0.2054267102623748
20,100,0.7905576297314716,0.09372742475556772,-0.2167026832255109
20,150,0.7900386254742872,0.09818994695334693,-0.26668437658504696
20,200,0.8146884663953111,0.10496920766083195,-0.33487593133034044
50,100,0.6488288553997612,0.08202981651301378,-0.3389354136736886
50,150,0.8527400066118329,0.11496942170013669,-0.33717259886422946
50,200,0.7938543520802217,0.10699294670166126,-0.33717259886422934
